Name,Diameter
Amelia,50.9
Wallia,43.7
Appella,25.9
Schwassmannia,12.9
Yerkes,18.5
McDonalda,31.4
Swasey,27.3
Otthild,24.4
Sternberga,31.6
Hilaritas,29.5
Priska,18.7
Bodea,38.2
Zachia,21.2
Piazzia,47.7
Gaussia,74.7
Olbersia,32.1
Belopolskya,71.6
Arago,57.8
Lagrangea,29.6
Pawlowia,24.6
La Paz,38.6
Marlene,43.5
Sarema,21.1
Tombecka,31.9
Christa,96.9
Jacqueline,37.6
Arnolda,16.4
Strackea,8.4
Flammario,99.4
Olympiada,26.4
Thomana,58.3
Hale,41.4
Aesculapia,32.2
Lydina,71.4
La Plata,20.8
Vitja,64.1
Arctica,75.5
Pafuri,57.0
Simona,24.8
Mozartia,8.1
Amata,50.7
Ganymed,31.7
Sonneberga,36.7
Klumpkea,42.5
Asta,57.3
Amazone,73.6
Beate,31.6
Teutonia,15.2
Feodosia,70.2
Gotho,50.7
Merope,67.2
Forsytia,45.5
Wanda,40.5
Grubba,14.6
Ljuba,55.1
Aquilegia,18.3
Aethusa,18.7
Nofretete,26.8
Planckia,39.5
Tunica,36.4
Brita,50.3
Malva,45.0
Gellivara,35.7
Beljawskya,47.8
Helina,35.5
Viola,22.6
Mimosa,23.7
Orchis,23.3
Reseda,38.2
Pirola,43.0
Tamariwa,27.2
Amaryllis,70.0
Nata,66.3
Arabis,31.8
Tama,12.9
Spiraea,32.0
Lilium,46.2
Freda,116.7
Siberia,18.1
Tulipa,31.5
Reunerta,45.8
Vicia,21.1
Hakone,24.7
Figneria,29.4
Clematis,37.9
Pepita,39.3
Syringa,22.1
Fragaria,37.0
Lictoria,79.2
Demeter,25.6
Tata,66.5
Polonia,35.8
Katja,38.5
Lorraine,62.2
Sabauda,68.8
Catriona,39.1
Hanskya,77.2
Euboea,31.5
Neith,11.6
Stroobantia,24.6
Otero,12.0
Mimi,46.8
Astrid,34.7
Neujmina,34.8
Hollandia,34.2
Colchis,50.6
Mercedes,25.3
Raissa,23.7
Crimea,27.8
Bohmia,11.6
Odysseus,125.6
Oda,57.6
Robelmonte,23.2
Biarmia,31.1
Rarahu,33.2
Volga,55.6
Ithaka,22.0
Pawona,15.7
Astronomia,61.1
